"Title","Description"
"[F1][Core] Criar fork sem a camada Network","Remover referencias a NetworkBehaviour e ao pacote Mirror do projeto."
"[F1][Core] Isolar GameLoop do modo solo","Garantir que o loop de jogo rode sem qualquer dependencia de sincronizacao de rede."
"[F1][IA] Implementar fallback do A* para grid sem caminho valido","Definir comportamento (manter direcao atual ou buscar celula livre mais proxima) quando nao existir caminho ate nenhum alvo."
"[F1][Core] Cobrir BombSystem com testes de borda","Testes unitarios para bomba em x=0, x=23 e cantos do grid toroidal."
"[F1][Core] Revalidar GridPosition e SnakeState sem Mirror","Confirmar que a aritmetica modular do wraparound continua correta fora do contexto de rede."
"[F1][Infra] Configurar CI basico de testes","Rodar os testes de Core e IA automaticamente a cada push."
"[F2][UI] Criar novo menu inicial sem Hospedar/Conectar","Tela inicial focada em Jogar, Dificuldade e Configuracoes."
"[F2][Input] Implementar InputController com swipe","Converter gestos de swipe em comandos de direcao compativeis com o Core."
"[F2][Input] Implementar D-pad virtual alternativo","Opcao de controle mais previsivel para quem preferir botoes a swipe."
"[F2][Input] Adicionar zona morta configuravel de swipe","Reduzir falsos positivos de direcao em telas pequenas."
"[F2][UI] Adaptar HUD para safe area e multiplos aspect ratios","Testar em pelo menos 3 proporcoes de tela diferentes."
"[F2][UI] Criar tela de configuracoes","Sensibilidade de swipe, volume e vibracao."
"[F2][UI] Criar onboarding rapido de primeira partida","Tutorial minimo explicando itens, bombas e buffs/debuffs."
"[F3][Core] Implementar sistema de recorde local","Salvar highscore persistente entre sessoes."
"[F3][IA] Criar niveis de dificuldade de IA","Parametrizar agressividade do A* e prioridade de itens por tier."
"[F3][IA] Dar persona/nome a cada dificuldade de IA","Pequeno identificador visual e nome para cada oponente."
"[F3][Core] Implementar modo Sobrevivencia Infinita","Variacao do modo cronometrado com dificuldade crescente sem limite de tempo fixo."
"[F3][Core] Sistema de conquistas locais","Definir lista inicial de conquistas ligadas a partidas, recordes e itens usados."
"[F4][Android] Instalar Android Build Support no Unity","Configurar SDK/NDK necessarios."
"[F4][Android] Configurar minSdk/targetSdk para API 36","Atender requisito atual da Google Play para novos apps."
"[F4][Android] Gerar keystore de upload e documentar backup","Salvar copia criptografada em pelo menos dois locais seguros."
"[F4][Android] Habilitar Play App Signing","Delegar a assinatura final ao Google mantendo a upload key sob controle do dev."
"[F4][Android] Configurar Player Settings","Icone, orientacao de tela, nome do pacote, versionCode e versionName."
"[F4][Android] Gerar primeiro build AAB de teste","Validar instalacao em pelo menos 2 dispositivos fisicos reais."
"[F4][Infra] Integrar relatorio de crash e ANR","Configurar Firebase Crashlytics ou equivalente para monitorar estabilidade."
"[F5][Store] Escrever politica de privacidade","Publicar via GitHub Pages deste repositorio."
"[F5][Store] Preencher formulario de Data Safety","Declarar corretamente os dados coletados por SDKs de terceiros, como ads."
"[F5][Store] Completar questionario de classificacao indicativa","Gerar rating oficial de conteudo do jogo."
"[F5][Store] Integrar SDK de anuncios recompensados","Anuncio opcional, nunca bloqueante para jogar."
"[F5][Store] Criar icone, screenshots e feature graphic","Assets finais na resolucao exigida pela Play Console."
"[F5][Store] Escrever descricao da loja em PT-BR e EN","Cobrir os dois mercados principais."
"[F6][QA] Subir primeiro build na faixa de Teste Interno","Marca a conta como ativa e permite QA inicial."
"[F6][QA] Recrutar 12 testadores reais para o Teste Fechado","Combinar rede pessoal, comunidades de troca de creditos e/ou servico pago."
"[F6][QA] Criar canal estruturado de feedback dos testadores","Formulario curto pedindo tempo jogado e bugs encontrados, nao so instalacao."
"[F6][QA] Monitorar Android Vitals durante os 14 dias","Acompanhar taxa de crash e ANR diariamente."
"[F6][QA] Corrigir bugs criticos reportados no teste fechado","Priorizar travamentos e perda de progresso."
"[F7][Store] Solicitar acesso de producao no Play Console","Apos cumprir 12 testadores por 14 dias com engajamento real."
"[F7][Store] Publicar versao 1.0 em producao","Primeiro lancamento publico do app."
"[F7][Infra] Configurar alertas pos-lancamento","Notificacoes de pico de crash/ANR no Android Vitals."
"[F7][Infra] Definir cadencia minima de updates","Evitar reincidencia de fechamento da conta por inatividade."
